"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"301568","0","0","0"
"333312","0","0","0"
"365056","0","0","0"
"396800","0","0","0"
"428544","0","0","0"
"460288","0","0","0"
"492032","0","0","0"
"523776","0","0","0"
"555520","0","0","0"
"587264","0","0","0"
"619008","0","0","0"
"650752","0","0","0"
"682496","0","0","0"
"714240","0","0","0"
"745984","0","0","0"
"777728","0","0","0"
"809472","0","0","0"
"841216","0","0","0"
"872960","0","0","0"
"904704","0","0","0"
"936448","0","0","0"
"968192","0","0","0"
"999936","0","0","0"
"1031680","0","0","0"
"1063424","0","0","0"
"1095168","0","0","0"
"1126912","0","0","0"
"1158656","0","0","0"
"1190400","0","0","0"
"1222144","0","0","0"
"1253888","0","0","0"
"1285632","0","0","0"
"1317376","0","0","0"
"1349120","0","0","0"
"1380864","0","0","0"
"1412608","0","0","0"
"1444352","0","0","0"
"1476096","0","0","0"
"1507840","0","0","0"
"1539584","0","0","0"
"1571328","0","0","0"
"1603072","0","0","0"
"1634816","0","0","0"
"1666560","0","0","0"
"1698304","0","0","0"
"1730048","0","0","0"
"1761792","0","0","0"
"1793536","0","0","0"
"1825280","0","0","0"
"1857024","0","0","0"
"1888768","0","0","0"
"1920512","0","0","0"
"1952256","0","0","0"
"1984000","0","0","0"
"2015744","0","0","0"
"2047488","0","0","0"
"2079232","0","0","0"
"2110976","0","0","0"
"2142720","0","0","0"
"2174464","0","0","0"
"2206208","0","0","0"
"2237952","0","0","0"
"2269696","0","0","0"
"2301440","0.140625","0.140625","0.140625"
"2333184","0","0","0"
"2364928","0","0","0"
"2396672","0.12890625","0.12890625","0.12890625"
"2428416","0","0","0"
"2460160","0","0","0"
"2491904","0","0","0"
"2523648","0.06640625","0.06640625","0.06640625"
"2555392","3.03125","3.03125","3.03125"
"2587136","0","0","0"
"2618880","0","0","0"
"2650624","2.16796875","2.16796875","2.16796875"
"2682368","3.328125","3.328125","3.328125"
"2714112","0.01171875","0.01171875","0.01171875"
"2745856","5.43359375","5.43359375","5.43359375"
"2777600","0.81640625","0.81640625","0.81640625"
"2809344","0.0625","0.0625","0.0625"
"2841088","0.18359375","0.18359375","0.18359375"
"2872832","1.203125","1.203125","1.203125"
"2904576","2.859375","2.859375","2.859375"
"2936320","6.1640625","6.1640625","6.1640625"
"2968064","0","0","0"
"2999808","12.77734375","12.77734375","12.77734375"
"3031552","1.78515625","1.78515625","1.78515625"
"3063296","10.4453125","10.4453125","10.4453125"
"3095040","3.8671875","3.8671875","3.8671875"
"3126784","13.47265625","13.47265625","13.47265625"
"3158528","6.16796875","6.16796875","6.16796875"
"3190272","10.25","10.25","10.25"
"3222016","6.7109375","6.7109375","6.7109375"
"3253760","7.80078125","7.80078125","7.80078125"
"3285504","25.0859375","25.0859375","25.0859375"
"3317248","7.45703125","7.45703125","7.45703125"
"3348992","10.15234375","10.15234375","10.15234375"
"3380736","17.14453125","17.14453125","17.14453125"
"3412480","24.62109375","24.62109375","24.62109375"
"3444224","22.140625","22.140625","22.140625"
"3475968","29.8203125","29.8203125","29.8203125"
"3507712","31.00390625","31.00390625","31.00390625"
"3539456","43.16796875","43.16796875","43.16796875"
"3571200","45.23046875","45.23046875","45.23046875"
"3602944","63.26171875","63.26171875","63.26171875"
"3634688","46.21484375","46.21484375","46.21484375"
"3666432","42.421875","42.421875","42.421875"
"3698176","49.41796875","49.41796875","49.41796875"
"3729920","29.44140625","29.44140625","29.44140625"
"3761664","86.45703125","86.45703125","86.45703125"
"3793408","38.0625","38.0625","38.0625"
"3825152","70.4140625","70.4140625","70.4140625"
"3856896","30.94140625","30.94140625","30.94140625"
"3888640","40.1484375","40.1484375","40.1484375"
"3920384","85.34765625","85.34765625","85.34765625"
"3952128","61.73046875","61.73046875","61.73046875"
"3983872","77.0234375","77.0234375","77.0234375"
"4015616","75.06640625","75.06640625","75.06640625"
"4047360","59.1171875","59.1171875","59.1171875"
"4079104","108.42578125","108.42578125","108.42578125"
"4110848","92.80859375","92.80859375","92.80859375"
"4142592","151.48828125","151.48828125","151.48828125"
"4174336","146.5390625","146.5390625","146.5390625"
"4206080","86.8828125","86.8828125","86.8828125"
"4237824","63.359375","63.359375","63.359375"
"4269568","119.96484375","119.96484375","119.96484375"
"4301312","82.8203125","82.8203125","82.8203125"
"4333056","71.4140625","71.4140625","71.4140625"
"4364800","68.40625","68.40625","68.40625"
"4396544","173.01171875","173.01171875","173.01171875"
"4428288","117.10546875","117.10546875","117.10546875"
"4460032","67.6640625","67.6640625","67.6640625"
"4491776","110.03125","110.03125","110.03125"
"4523520","121.33984375","121.33984375","121.33984375"
"4555264","114.90234375","114.90234375","114.90234375"
"4587008","124.59375","124.59375","124.59375"
"4618752","123.06640625","123.06640625","123.06640625"
"4650496","136.62109375","136.62109375","136.62109375"
"4682240","144.7265625","144.7265625","144.7265625"
"4713984","102.4375","102.4375","102.4375"
"4745728","143.5625","143.5625","143.5625"
"4777472","101.89453125","101.89453125","101.89453125"
"4809216","125.55078125","125.55078125","125.55078125"
"4840960","115.4921875","115.4921875","115.4921875"
"4872704","125.81640625","125.81640625","125.81640625"
"4904448","137.00390625","137.00390625","137.00390625"
"4936192","105.20703125","105.20703125","105.20703125"
"4967936","137.015625","137.015625","137.015625"
"4999680","158.6015625","158.6015625","158.6015625"
"5031424","130.92578125","130.92578125","130.92578125"
"5063168","98.5078125","98.5078125","98.5078125"
"5094912","123.296875","123.296875","123.296875"
"5126656","105.1640625","105.1640625","105.1640625"
"5158400","122.1328125","122.1328125","122.1328125"
"5190144","116.734375","116.734375","116.734375"
"5221888","98.41796875","98.41796875","98.41796875"
"5253632","52.2109375","52.2109375","52.2109375"
"5285376","92.01171875","92.01171875","92.01171875"
"5317120","109.296875","109.296875","109.296875"
"5348864","109.3828125","109.3828125","109.3828125"
"5380608","97.13671875","97.13671875","97.13671875"
"5412352","94.45703125","94.45703125","94.45703125"
"5444096","102.515625","102.515625","102.515625"
"5475840","111.02734375","111.02734375","111.02734375"
"5507584","113.84375","113.84375","113.84375"
"5539328","130.1640625","130.1640625","130.1640625"
"5571072","69.41796875","69.41796875","69.41796875"
"5602816","46.3671875","46.3671875","46.3671875"
"5634560","60.55859375","60.55859375","60.55859375"
"5666304","95.22265625","95.22265625","95.22265625"
"5698048","83.1484375","83.1484375","83.1484375"
"5729792","107.95703125","107.95703125","107.95703125"
"5761536","126.74609375","126.74609375","126.74609375"
"5793280","76.515625","76.515625","76.515625"
"5825024","111.3046875","111.3046875","111.3046875"
"5856768","170.3671875","170.3671875","170.3671875"
"5888512","93.40625","93.40625","93.40625"
"5920256","132.84375","132.84375","132.84375"
"5952000","54.38671875","54.38671875","54.38671875"
"5983744","110.5859375","110.5859375","110.5859375"
"6015488","57.453125","57.453125","57.453125"
"6047232","98.72265625","98.72265625","98.72265625"
"6078976","100.21875","100.21875","100.21875"
"6110720","89.8515625","89.8515625","89.8515625"
"6142464","65.5859375","65.5859375","65.5859375"
"6174208","108.7265625","108.7265625","108.7265625"
"6205952","129.9140625","129.9140625","129.9140625"
"6237696","89.0546875","89.0546875","89.0546875"
"6269440","148.06640625","148.06640625","148.06640625"
"6301184","83.12109375","83.12109375","83.12109375"
"6332928","78.17578125","78.17578125","78.17578125"
"6364672","105.921875","105.921875","105.921875"
"6396416","107.36328125","107.36328125","107.36328125"
"6428160","89.8359375","89.8359375","89.8359375"
"6459904","119.4296875","119.4296875","119.4296875"
"6491648","116.7421875","116.7421875","116.7421875"
"6523392","119.84375","119.84375","119.84375"
"6555136","98.87109375","98.87109375","98.87109375"
"6586880","138.17578125","138.17578125","138.17578125"
"6618624","75.97265625","75.97265625","75.97265625"
