"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"1507840","0","0","0"
"2745856","0","0","0"
"3983872","0","0","0"
"5221888","0","0","0"
"6459904","0","0","0"
"7697920","0","0","0"
"8935936","0","0","0"
"10173952","0","0","0"
"11411968","0","0","0"
"12649984","0","0","0"
"13888000","3.23828125","3.23828125","3.23828125"
"15126016","9.796875","9.796875","9.796875"
"16364032","12.59765625","12.59765625","12.59765625"
"17602048","24.1015625","24.1015625","24.1015625"
"18840064","6.66015625","6.66015625","6.66015625"
"20078080","11.29296875","11.29296875","11.29296875"
"21316096","18.40625","18.40625","18.40625"
"22554112","15.89453125","15.89453125","15.89453125"
"23792128","6.12109375","6.12109375","6.12109375"
"25030144","18.19140625","18.19140625","18.19140625"
"26268160","14.87890625","14.87890625","14.87890625"
"27506176","18.2734375","18.2734375","18.2734375"
"28744192","39.3125","39.3125","39.3125"
"29982208","6.265625","6.265625","6.265625"
"31220224","30.66015625","30.66015625","30.66015625"
"32458240","40.78125","40.78125","40.78125"
"33696256","67.0859375","67.0859375","67.0859375"
"34934272","32.75","32.75","32.75"
"36172288","38.796875","38.796875","38.796875"
"37410304","23.453125","23.453125","23.453125"
"38648320","29.953125","29.953125","29.953125"
"39886336","23.59375","23.59375","23.59375"
"41124352","42.38671875","42.38671875","42.38671875"
"42362368","37.26953125","37.26953125","37.26953125"
"43600384","21.765625","21.765625","21.765625"
"44838400","23.765625","23.765625","23.765625"
"46076416","57.3984375","57.3984375","57.3984375"
"47314432","19.26171875","19.26171875","19.26171875"
"48552448","28.90234375","28.90234375","28.90234375"
"49790464","43.890625","43.890625","43.890625"
"51028480","22.0859375","22.0859375","22.0859375"
"52266496","16.7734375","16.7734375","16.7734375"
"53504512","16.7578125","16.7578125","16.7578125"
"54742528","53.65234375","53.65234375","53.65234375"
"55980544","33.8203125","33.8203125","33.8203125"
"57218560","18.45703125","18.45703125","18.45703125"
"58456576","47.4140625","47.4140625","47.4140625"
"59694592","30.34765625","30.34765625","30.34765625"
"60932608","42.515625","42.515625","42.515625"
"62170624","24.8984375","24.8984375","24.8984375"
"63408640","32.7421875","32.7421875","32.7421875"
"64646656","76.67578125","76.67578125","76.67578125"
"65884672","43.34375","43.34375","43.34375"
"67122688","94.74609375","94.74609375","94.74609375"
"68360704","61.57421875","61.57421875","61.57421875"
"69598720","69.9609375","69.9609375","69.9609375"
"70836736","129.8984375","129.8984375","129.8984375"
"72074752","80.4375","80.4375","80.4375"
"73312768","76.35546875","76.35546875","76.35546875"
"74550784","82.97265625","82.97265625","82.97265625"
"75788800","89.9296875","89.9296875","89.9296875"
"77026816","84.76953125","84.76953125","84.76953125"
"78264832","77.97265625","77.97265625","77.97265625"
"79502848","73.96484375","73.96484375","73.96484375"
"80740864","69.55078125","69.55078125","69.55078125"
"81978880","72.16796875","72.16796875","72.16796875"
"83216896","103.92578125","103.92578125","103.92578125"
"84454912","71.09765625","71.09765625","71.09765625"
"85692928","80.2109375","80.2109375","80.2109375"
"86930944","95.6484375","95.6484375","95.6484375"
"88168960","90.16796875","90.16796875","90.16796875"
"89406976","96.18359375","96.18359375","96.18359375"
"90644992","49.12109375","49.12109375","49.12109375"
"91883008","60.6796875","60.6796875","60.6796875"
"93121024","210.6328125","210.6328125","210.6328125"
