"Step","mabrax_ant_soccer__train_icrl__1__1746579734 - eval/episode_success","mabrax_ant_soccer__train_icrl__1__1746579734 - eval/episode_success__MIN","mabrax_ant_soccer__train_icrl__1__1746579734 - eval/episode_success__MAX"
"0","0","0","0"
"95232","0","0","0"
"190464","0","0","0"
"285696","0","0","0"
"380928","0","0","0"
"476160","0","0","0"
"571392","0","0","0"
"666624","0","0","0"
"761856","0","0","0"
"857088","0","0","0"
"952320","0","0","0"
"1047552","0","0","0"
"1142784","0","0","0"
"1238016","0","0","0"
"1333248","0","0","0"
"1428480","0","0","0"
"1523712","0","0","0"
"1618944","0","0","0"
"1714176","0","0","0"
"1809408","0","0","0"
"1904640","0","0","0"
"1999872","0","0","0"
"2095104","0","0","0"
"2190336","0","0","0"
"2285568","0","0","0"
"2380800","0","0","0"
"2476032","0","0","0"
"2571264","0","0","0"
"2666496","0","0","0"
"2761728","0","0","0"
"2856960","0","0","0"
"2952192","0","0","0"
"3047424","0","0","0"
"3142656","0","0","0"
"3237888","0","0","0"
"3333120","0","0","0"
"3428352","0","0","0"
"3523584","0","0","0"
"3618816","0","0","0"
"3714048","0","0","0"
"3809280","0","0","0"
"3904512","0","0","0"
"3999744","0","0","0"
"4094976","0","0","0"
"4190208","0","0","0"
"4285440","0","0","0"
"4380672","0","0","0"
"4475904","0","0","0"
"4571136","0","0","0"
"4666368","0","0","0"
"4761600","0","0","0"
"4856832","0","0","0"
"4952064","0","0","0"
"5047296","0","0","0"
"5142528","0","0","0"
"5237760","0","0","0"
"5332992","0","0","0"
"5428224","0","0","0"
"5523456","0","0","0"
"5618688","0","0","0"
"5713920","0","0","0"
"5809152","0","0","0"
"5904384","0","0","0"
"5999616","0","0","0"
"6094848","0","0","0"
"6190080","0","0","0"
"6285312","0","0","0"
"6380544","0","0","0"
"6475776","0","0","0"
"6571008","9.8125","9.8125","9.8125"
"6666240","0","0","0"
"6761472","0","0","0"
"6856704","0","0","0"
"6951936","0","0","0"
"7047168","0","0","0"
"7142400","3.234375","3.234375","3.234375"
"7237632","0","0","0"
"7332864","0","0","0"
"7428096","0","0","0"
"7523328","25.734375","25.734375","25.734375"
"7618560","0","0","0"
"7713792","91.40625","91.40625","91.40625"
"7809024","37.015625","37.015625","37.015625"
"7904256","25.578125","25.578125","25.578125"
"7999488","0","0","0"
"8094720","78.453125","78.453125","78.453125"
"8189952","144.171875","144.171875","144.171875"
"8285184","186.15625","186.15625","186.15625"
"8380416","192.578125","192.578125","192.578125"
"8475648","62.890625","62.890625","62.890625"
"8570880","81.140625","81.140625","81.140625"
"8666112","90.765625","90.765625","90.765625"
"8761344","60.8125","60.8125","60.8125"
"8856576","39.515625","39.515625","39.515625"
"8951808","114.625","114.625","114.625"
"9047040","229.71875","229.71875","229.71875"
"9142272","166.796875","166.796875","166.796875"
"9237504","68.21875","68.21875","68.21875"
"9332736","34.765625","34.765625","34.765625"
"9427968","32.21875","32.21875","32.21875"
"9523200","120.453125","120.453125","120.453125"
"9618432","97.640625","97.640625","97.640625"
"9713664","155.578125","155.578125","155.578125"
"9808896","315.4375","315.4375","315.4375"
"9904128","205.3125","205.3125","205.3125"
"9999360","386.125","386.125","386.125"
"10094592","204.515625","204.515625","204.515625"
"10189824","462.203125","462.203125","462.203125"
"10285056","389.3125","389.3125","389.3125"
"10380288","395.015625","395.015625","395.015625"
"10475520","490.3125","490.3125","490.3125"
"10570752","622.078125","622.078125","622.078125"
"10665984","607.640625","607.640625","607.640625"
"10761216","691.65625","691.65625","691.65625"
"10856448","648.359375","648.359375","648.359375"
"10951680","585.53125","585.53125","585.53125"
"11046912","310.703125","310.703125","310.703125"
"11142144","617.09375","617.09375","617.09375"
"11237376","572.609375","572.609375","572.609375"
"11332608","674.8125","674.8125","674.8125"
"11427840","458.140625","458.140625","458.140625"
"11523072","668","668","668"
"11618304","697.25","697.25","697.25"
"11713536","493.125","493.125","493.125"
"11808768","612.953125","612.953125","612.953125"
"11904000","595.015625","595.015625","595.015625"
"11999232","672.78125","672.78125","672.78125"
"12094464","533.78125","533.78125","533.78125"
"12189696","678.3125","678.3125","678.3125"
"12284928","635.875","635.875","635.875"
"12380160","640.84375","640.84375","640.84375"
"12475392","679.953125","679.953125","679.953125"
"12570624","666.125","666.125","666.125"
"12665856","548.65625","548.65625","548.65625"
"12761088","572.375","572.375","572.375"
"12856320","627.53125","627.53125","627.53125"
"12951552","666.703125","666.703125","666.703125"
"13046784","583.578125","583.578125","583.578125"
"13142016","731.921875","731.921875","731.921875"
"13237248","397.9375","397.9375","397.9375"
"13332480","566.46875","566.46875","566.46875"
"13427712","431.84375","431.84375","431.84375"
"13522944","558.625","558.625","558.625"
"13618176","303.765625","303.765625","303.765625"
"13713408","494.25","494.25","494.25"
"13808640","535.484375","535.484375","535.484375"
"13903872","561.359375","561.359375","561.359375"
"13999104","292.75","292.75","292.75"
"14094336","416.71875","416.71875","416.71875"
"14189568","518.34375","518.34375","518.34375"
"14284800","556.40625","556.40625","556.40625"
"14380032","250.15625","250.15625","250.15625"
"14475264","421.109375","421.109375","421.109375"
"14570496","504.625","504.625","504.625"
"14665728","655.453125","655.453125","655.453125"
"14760960","723.1875","723.1875","723.1875"
"14856192","617.203125","617.203125","617.203125"
"14951424","546.46875","546.46875","546.46875"
"15046656","487","487","487"
"15141888","383.890625","383.890625","383.890625"
"15237120","525.703125","525.703125","525.703125"
"15332352","438.515625","438.515625","438.515625"
"15427584","578.65625","578.65625","578.65625"
"15522816","564.375","564.375","564.375"
"15618048","413.9375","413.9375","413.9375"
"15713280","644.40625","644.40625","644.40625"
"15808512","546.15625","546.15625","546.15625"
"15903744","465.609375","465.609375","465.609375"
"15998976","432.9375","432.9375","432.9375"
"16094208","527.1875","527.1875","527.1875"
"16189440","475.765625","475.765625","475.765625"
"16284672","556.828125","556.828125","556.828125"
"16379904","367.734375","367.734375","367.734375"
"16475136","597.96875","597.96875","597.96875"
"16570368","586.890625","586.890625","586.890625"
"16665600","542.34375","542.34375","542.34375"
"16760832","466.734375","466.734375","466.734375"
"16856064","585.75","585.75","585.75"
"16951296","517.390625","517.390625","517.390625"
"17046528","455.359375","455.359375","455.359375"
"17141760","279.21875","279.21875","279.21875"
"17236992","351.96875","351.96875","351.96875"
"17332224","324.59375","324.59375","324.59375"
"17427456","340.875","340.875","340.875"
"17522688","371.078125","371.078125","371.078125"
"17617920","380.640625","380.640625","380.640625"
"17713152","449.484375","449.484375","449.484375"
"17808384","544.40625","544.40625","544.40625"
"17903616","389.03125","389.03125","389.03125"
"17998848","427.375","427.375","427.375"
"18094080","549.640625","549.640625","549.640625"
"18189312","639.25","639.25","639.25"
"18284544","642.109375","642.109375","642.109375"
"18379776","574.296875","574.296875","574.296875"
"18475008","500","500","500"
"18570240","461.0625","461.0625","461.0625"
"18665472","466.484375","466.484375","466.484375"
"18760704","493.4375","493.4375","493.4375"
"18855936","326.734375","326.734375","326.734375"
"18951168","336.171875","336.171875","336.171875"
"19046400","597.21875","597.21875","597.21875"
"19141632","339.484375","339.484375","339.484375"
"19236864","376.828125","376.828125","376.828125"
"19332096","624.765625","624.765625","624.765625"
"19427328","526.46875","526.46875","526.46875"
"19522560","639.890625","639.890625","639.890625"
"19617792","548.234375","548.234375","548.234375"
"19713024","689.421875","689.421875","689.421875"
"19808256","640.4375","640.4375","640.4375"
"19903488","616.421875","616.421875","616.421875"
"19998720","455.578125","455.578125","455.578125"
"20093952","506.96875","506.96875","506.96875"
"20189184","544.625","544.625","544.625"
"20284416","599.40625","599.40625","599.40625"
"20379648","512.5","512.5","512.5"
"20474880","438.09375","438.09375","438.09375"
"20570112","463.96875","463.96875","463.96875"
"20665344","405.46875","405.46875","405.46875"
"20760576","450.078125","450.078125","450.078125"
"20855808","605.71875","605.71875","605.71875"
"20951040","534.171875","534.171875","534.171875"
"21046272","402.171875","402.171875","402.171875"
"21141504","405.875","405.875","405.875"
"21236736","306.203125","306.203125","306.203125"
"21331968","513.484375","513.484375","513.484375"
"21427200","393.765625","393.765625","393.765625"
"21522432","335.09375","335.09375","335.09375"
"21617664","285.28125","285.28125","285.28125"
"21712896","296.640625","296.640625","296.640625"
"21808128","386.375","386.375","386.375"
"21903360","293.765625","293.765625","293.765625"
"21998592","387.3125","387.3125","387.3125"
"22093824","366.53125","366.53125","366.53125"
"22189056","281.09375","281.09375","281.09375"
"22284288","251.109375","251.109375","251.109375"
"22379520","272.3125","272.3125","272.3125"
"22474752","415.046875","415.046875","415.046875"
"22569984","320.859375","320.859375","320.859375"
"22665216","429.546875","429.546875","429.546875"
"22760448","346.71875","346.71875","346.71875"
"22855680","262.328125","262.328125","262.328125"
"22950912","443","443","443"
"23046144","315.421875","315.421875","315.421875"
"23141376","419.25","419.25","419.25"
"23236608","394.4375","394.4375","394.4375"
"23331840","390.28125","390.28125","390.28125"
"23427072","336.46875","336.46875","336.46875"
"23522304","403.109375","403.109375","403.109375"
"23617536","396.8125","396.8125","396.8125"
"23712768","320.78125","320.78125","320.78125"
"23808000","325.25","325.25","325.25"
"23903232","348.328125","348.328125","348.328125"
"23998464","270.84375","270.84375","270.84375"
"24093696","149.140625","149.140625","149.140625"
"24188928","371.390625","371.390625","371.390625"
"24284160","333.453125","333.453125","333.453125"
"24379392","376.9375","376.9375","376.9375"
"24474624","407.4375","407.4375","407.4375"
"24569856","551.0625","551.0625","551.0625"
"24665088","421.546875","421.546875","421.546875"
"24760320","427.484375","427.484375","427.484375"
"24855552","432.265625","432.265625","432.265625"
"24950784","538","538","538"
"25046016","536.0625","536.0625","536.0625"
"25141248","642.015625","642.015625","642.015625"
"25236480","498.96875","498.96875","498.96875"
"25331712","433.296875","433.296875","433.296875"
"25426944","387.25","387.25","387.25"
"25522176","417.203125","417.203125","417.203125"
"25617408","281.734375","281.734375","281.734375"
"25712640","508.625","508.625","508.625"
"25807872","427.0625","427.0625","427.0625"
"25903104","544.6875","544.6875","544.6875"
"25998336","444.8125","444.8125","444.8125"
"26093568","582.328125","582.328125","582.328125"
"26188800","440.5625","440.5625","440.5625"
"26284032","360.421875","360.421875","360.421875"
"26379264","350.640625","350.640625","350.640625"
"26474496","332.609375","332.609375","332.609375"
"26569728","257.078125","257.078125","257.078125"
"26664960","489.15625","489.15625","489.15625"
"26760192","389.90625","389.90625","389.90625"
"26855424","425.203125","425.203125","425.203125"
"26950656","519.90625","519.90625","519.90625"
"27045888","453.890625","453.890625","453.890625"
"27141120","394.171875","394.171875","394.171875"
"27236352","274.96875","274.96875","274.96875"
"27331584","278.046875","278.046875","278.046875"
"27426816","417.921875","417.921875","417.921875"
"27522048","568.25","568.25","568.25"
"27617280","546.96875","546.96875","546.96875"
"27712512","551.3125","551.3125","551.3125"
"27807744","643.265625","643.265625","643.265625"
"27902976","564.34375","564.34375","564.34375"
"27998208","380.875","380.875","380.875"
"28093440","461.75","461.75","461.75"
"28188672","502.296875","502.296875","502.296875"
"28283904","629.75","629.75","629.75"
"28379136","601.78125","601.78125","601.78125"
"28474368","570.6875","570.6875","570.6875"
