"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"40960","0.09375","0.09375","0.09375"
"81920","0.06640625","0.06640625","0.06640625"
"122880","0","0","0"
"163840","0","0","0"
"204800","0","0","0"
"245760","0.02734375","0.02734375","0.02734375"
"286720","0","0","0"
"327680","0","0","0"
"368640","0","0","0"
"409600","0","0","0"
"450560","0","0","0"
"491520","0.0703125","0.0703125","0.0703125"
"532480","0","0","0"
"573440","0","0","0"
"614400","0","0","0"
"655360","0","0","0"
"696320","0","0","0"
"737280","0","0","0"
"778240","0.23046875","0.23046875","0.23046875"
"819200","0","0","0"
"860160","0","0","0"
"901120","0","0","0"
"942080","0","0","0"
"983040","0","0","0"
"1024000","0","0","0"
"1064960","0","0","0"
"1105920","0","0","0"
"1146880","0","0","0"
"1187840","0","0","0"
"1228800","0","0","0"
"1269760","0","0","0"
"1310720","0","0","0"
"1351680","0","0","0"
"1392640","0","0","0"
"1433600","0","0","0"
"1474560","0","0","0"
"1515520","0","0","0"
"1556480","0","0","0"
"1597440","0","0","0"
"1638400","0.30078125","0.30078125","0.30078125"
"1679360","0","0","0"
"1720320","0","0","0"
"1761280","0","0","0"
"1802240","0","0","0"
"1843200","0.4375","0.4375","0.4375"
"1884160","0.2734375","0.2734375","0.2734375"
"1925120","0","0","0"
"1966080","0.07421875","0.07421875","0.07421875"
"2007040","0.4609375","0.4609375","0.4609375"
"2048000","0.171875","0.171875","0.171875"
"2088960","0.30078125","0.30078125","0.30078125"
"2129920","0.703125","0.703125","0.703125"
"2170880","0.5","0.5","0.5"
"2211840","0.3984375","0.3984375","0.3984375"
"2252800","1.05859375","1.05859375","1.05859375"
"2293760","0","0","0"
"2334720","0.09375","0.09375","0.09375"
"2375680","0","0","0"
"2416640","0","0","0"
"2457600","0","0","0"
"2498560","0","0","0"
"2539520","0","0","0"
"2580480","0.03125","0.03125","0.03125"
"2621440","0.90625","0.90625","0.90625"
"2662400","0","0","0"
"2703360","0.5234375","0.5234375","0.5234375"
"2744320","0","0","0"
"2785280","0","0","0"
"2826240","0.77734375","0.77734375","0.77734375"
"2867200","0","0","0"
"2908160","0","0","0"
"2949120","0","0","0"
"2990080","0.01953125","0.01953125","0.01953125"
"3031040","0","0","0"
"3072000","0","0","0"
"3112960","0","0","0"
"3153920","0","0","0"
"3194880","0","0","0"
"3235840","0","0","0"
"3276800","0","0","0"
"3317760","0","0","0"
"3358720","0","0","0"
"3399680","0","0","0"
"3440640","0","0","0"
"3481600","0","0","0"
"3522560","0","0","0"
"3563520","0","0","0"
"3604480","0","0","0"
"3645440","0","0","0"
"3686400","0","0","0"
"3727360","0","0","0"
"3768320","0","0","0"
"3809280","0","0","0"
"3850240","0","0","0"
"3891200","0","0","0"
"3932160","0","0","0"
"3973120","0","0","0"
"4014080","0","0","0"
"4055040","0","0","0"
"4096000","0","0","0"
"4136960","0","0","0"
"4177920","0","0","0"
"4218880","0","0","0"
"4259840","0","0","0"
"4300800","0","0","0"
"4341760","0","0","0"
"4382720","0","0","0"
"4423680","0","0","0"
"4464640","0","0","0"
"4505600","0","0","0"
"4546560","0","0","0"
"4587520","0","0","0"
"4628480","0","0","0"
"4669440","0","0","0"
"4710400","0","0","0"
"4751360","0","0","0"
"4792320","0","0","0"
"4833280","0","0","0"
"4874240","0","0","0"
"4915200","0","0","0"
"4956160","0","0","0"
"4997120","0","0","0"
"5038080","0","0","0"
"5079040","0","0","0"
"5120000","0","0","0"
"5160960","0","0","0"
"5201920","0","0","0"
"5242880","0","0","0"
"5283840","0","0","0"
"5324800","0","0","0"
"5365760","0","0","0"
"5406720","0","0","0"
"5447680","0","0","0"
"5488640","0","0","0"
"5529600","0","0","0"
"5570560","0","0","0"
"5611520","0","0","0"
"5652480","0","0","0"
"5693440","0","0","0"
"5734400","0","0","0"
"5775360","0","0","0"
"5816320","0","0","0"
"5857280","0","0","0"
"5898240","0","0","0"
"5939200","0","0","0"
"5980160","0","0","0"
"6021120","0","0","0"
"6062080","0","0","0"
"6103040","0","0","0"
"6144000","0","0","0"
"6184960","0","0","0"
"6225920","0","0","0"
"6266880","0","0","0"
"6307840","0","0","0"
"6348800","0","0","0"
"6389760","0","0","0"
"6430720","0","0","0"
"6471680","0","0","0"
"6512640","0","0","0"
"6553600","0","0","0"
"6594560","0","0","0"
"6635520","0","0","0"
"6676480","0","0","0"
"6717440","0","0","0"
"6758400","0.12109375","0.12109375","0.12109375"
"6799360","0","0","0"
"6840320","0","0","0"
"6881280","0","0","0"
"6922240","0","0","0"
"6963200","0","0","0"
"7004160","0","0","0"
"7045120","0","0","0"
"7086080","0","0","0"
"7127040","0","0","0"
"7168000","0","0","0"
"7208960","0","0","0"
"7249920","0","0","0"
"7290880","0.42578125","0.42578125","0.42578125"
"7331840","0","0","0"
"7372800","0","0","0"
"7413760","0","0","0"
"7454720","0","0","0"
"7495680","0","0","0"
"7536640","0","0","0"
"7577600","0","0","0"
"7618560","0","0","0"
"7659520","0","0","0"
"7700480","0","0","0"
"7741440","0","0","0"
"7782400","0","0","0"
"7823360","0","0","0"
"7864320","0","0","0"
"7905280","0","0","0"
"7946240","0.03515625","0.03515625","0.03515625"
"7987200","0","0","0"
"8028160","0","0","0"
"8069120","0","0","0"
"8110080","0","0","0"
"8151040","0","0","0"
