"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"256000","0","0","0"
"512000","0","0","0"
"768000","0","0","0"
"1024000","0","0","0"
"1280000","0","0","0"
"1536000","0","0","0"
"1792000","0","0","0"
"2048000","0","0","0"
"2304000","0","0","0"
"2560000","0","0","0"
"2816000","0","0","0"
"3072000","0","0","0"
"3328000","0","0","0"
"3584000","0","0","0"
"3840000","0","0","0"
"4096000","0","0","0"
"4352000","0","0","0"
"4608000","0","0","0"
"4864000","0","0","0"
"5120000","0","0","0"
"5376000","0","0","0"
"5632000","0","0","0"
"5888000","0","0","0"
"6144000","0","0","0"
"6400000","0","0","0"
"6656000","0","0","0"
"6912000","0","0","0"
"7168000","0.515625","0.515625","0.515625"
"7424000","0.28125","0.28125","0.28125"
"7680000","0.57421875","0.57421875","0.57421875"
"7936000","0.8125","0.8125","0.8125"
"8192000","0.51953125","0.51953125","0.51953125"
"8448000","0","0","0"
"8704000","0.43359375","0.43359375","0.43359375"
"8960000","0.0859375","0.0859375","0.0859375"
"9216000","1.17578125","1.17578125","1.17578125"
"9472000","1.42578125","1.42578125","1.42578125"
"9728000","0","0","0"
"9984000","0","0","0"
"10240000","0","0","0"
"10496000","0.18359375","0.18359375","0.18359375"
"10752000","0.28515625","0.28515625","0.28515625"
"11008000","0","0","0"
"11264000","1.765625","1.765625","1.765625"
"11520000","0.34765625","0.34765625","0.34765625"
"11776000","1.3046875","1.3046875","1.3046875"
"12032000","0.40625","0.40625","0.40625"
"12288000","1.7890625","1.7890625","1.7890625"
"12544000","0.59375","0.59375","0.59375"
"12800000","1.421875","1.421875","1.421875"
"13056000","0.08984375","0.08984375","0.08984375"
"13312000","1.78125","1.78125","1.78125"
"13568000","0.3203125","0.3203125","0.3203125"
"13824000","0.875","0.875","0.875"
"14080000","0.94140625","0.94140625","0.94140625"
"14336000","0.26953125","0.26953125","0.26953125"
"14592000","0.55078125","0.55078125","0.55078125"
