"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"40960","0","0","0"
"81920","0","0","0"
"122880","0","0","0"
"163840","0","0","0"
"204800","0","0","0"
"245760","0","0","0"
"286720","0","0","0"
"327680","0","0","0"
"368640","0","0","0"
"409600","0","0","0"
"450560","0","0","0"
"491520","0.3828125","0.3828125","0.3828125"
"532480","0","0","0"
"573440","0","0","0"
"614400","0","0","0"
"655360","0","0","0"
"696320","0","0","0"
"737280","0","0","0"
"778240","0","0","0"
"819200","0","0","0"
"860160","0","0","0"
"901120","0","0","0"
"942080","0","0","0"
"983040","0.01953125","0.01953125","0.01953125"
"1024000","0","0","0"
"1064960","0","0","0"
"1105920","0","0","0"
"1146880","0","0","0"
"1187840","0","0","0"
"1228800","0","0","0"
"1269760","0","0","0"
"1310720","0","0","0"
"1351680","0","0","0"
"1392640","0","0","0"
"1433600","0","0","0"
"1474560","0","0","0"
"1515520","0","0","0"
"1556480","0","0","0"
"1597440","0","0","0"
"1638400","0","0","0"
"1679360","0","0","0"
"1720320","0","0","0"
"1761280","0","0","0"
"1802240","0","0","0"
"1843200","0","0","0"
"1884160","0.19921875","0.19921875","0.19921875"
"1925120","0","0","0"
"1966080","0.37890625","0.37890625","0.37890625"
"2007040","0.81640625","0.81640625","0.81640625"
"2048000","0.30078125","0.30078125","0.30078125"
"2088960","1.390625","1.390625","1.390625"
"2129920","0","0","0"
"2170880","0.203125","0.203125","0.203125"
"2211840","0.24609375","0.24609375","0.24609375"
"2252800","0.70703125","0.70703125","0.70703125"
"2293760","1.390625","1.390625","1.390625"
"2334720","0.21484375","0.21484375","0.21484375"
"2375680","0.62890625","0.62890625","0.62890625"
"2416640","0.33203125","0.33203125","0.33203125"
"2457600","0.25390625","0.25390625","0.25390625"
"2498560","1.30859375","1.30859375","1.30859375"
"2539520","0.765625","0.765625","0.765625"
"2580480","0.70703125","0.70703125","0.70703125"
"2621440","0.41796875","0.41796875","0.41796875"
"2662400","1.296875","1.296875","1.296875"
"2703360","1.625","1.625","1.625"
"2744320","0.140625","0.140625","0.140625"
"2785280","0.37109375","0.37109375","0.37109375"
"2826240","0.46875","0.46875","0.46875"
"2867200","0.34765625","0.34765625","0.34765625"
"2908160","1.11328125","1.11328125","1.11328125"
"2949120","0","0","0"
"2990080","0","0","0"
"3031040","0.05078125","0.05078125","0.05078125"
"3072000","0","0","0"
"3112960","0.84375","0.84375","0.84375"
"3153920","0.29296875","0.29296875","0.29296875"
"3194880","0.51171875","0.51171875","0.51171875"
"3235840","0.7890625","0.7890625","0.7890625"
"3276800","0.30859375","0.30859375","0.30859375"
"3317760","0.45703125","0.45703125","0.45703125"
"3358720","0.32421875","0.32421875","0.32421875"
"3399680","0.4921875","0.4921875","0.4921875"
"3440640","0.66015625","0.66015625","0.66015625"
"3481600","0.36328125","0.36328125","0.36328125"
"3522560","0.94921875","0.94921875","0.94921875"
"3563520","0.80078125","0.80078125","0.80078125"
"3604480","0.94140625","0.94140625","0.94140625"
"3645440","0.53515625","0.53515625","0.53515625"
"3686400","0.9140625","0.9140625","0.9140625"
"3727360","0.8359375","0.8359375","0.8359375"
"3768320","0.640625","0.640625","0.640625"
"3809280","0.77734375","0.77734375","0.77734375"
"3850240","1.33984375","1.33984375","1.33984375"
"3891200","0.875","0.875","0.875"
"3932160","0","0","0"
"3973120","0.05859375","0.05859375","0.05859375"
"4014080","0.15234375","0.15234375","0.15234375"
"4055040","0","0","0"
"4096000","0.6640625","0.6640625","0.6640625"
"4136960","0","0","0"
"4177920","0","0","0"
"4218880","0","0","0"
"4259840","0.23046875","0.23046875","0.23046875"
"4300800","0","0","0"
"4341760","0.0078125","0.0078125","0.0078125"
"4382720","0.3359375","0.3359375","0.3359375"
"4423680","0.31640625","0.31640625","0.31640625"
"4464640","0.3828125","0.3828125","0.3828125"
"4505600","0.1328125","0.1328125","0.1328125"
"4546560","0.19921875","0.19921875","0.19921875"
"4587520","0.35546875","0.35546875","0.35546875"
"4628480","1.02734375","1.02734375","1.02734375"
"4669440","2.3828125","2.3828125","2.3828125"
"4710400","1.08984375","1.08984375","1.08984375"
"4751360","3.46875","3.46875","3.46875"
"4792320","2.28515625","2.28515625","2.28515625"
"4833280","5.15625","5.15625","5.15625"
"4874240","0.73046875","0.73046875","0.73046875"
"4915200","1.08984375","1.08984375","1.08984375"
"4956160","1.640625","1.640625","1.640625"
"4997120","1.23046875","1.23046875","1.23046875"
"5038080","1.56640625","1.56640625","1.56640625"
"5079040","2.94140625","2.94140625","2.94140625"
"5120000","1.8359375","1.8359375","1.8359375"
"5160960","1.12890625","1.12890625","1.12890625"
"5201920","0.0546875","0.0546875","0.0546875"
"5242880","0.23046875","0.23046875","0.23046875"
"5283840","2.15234375","2.15234375","2.15234375"
"5324800","1.64453125","1.64453125","1.64453125"
"5365760","0.87890625","0.87890625","0.87890625"
"5406720","1","1","1"
"5447680","1.078125","1.078125","1.078125"
"5488640","1.0546875","1.0546875","1.0546875"
"5529600","0","0","0"
"5570560","0.53125","0.53125","0.53125"
"5611520","1.05078125","1.05078125","1.05078125"
"5652480","0.390625","0.390625","0.390625"
"5693440","0.39453125","0.39453125","0.39453125"
"5734400","0.87109375","0.87109375","0.87109375"
"5775360","1.2734375","1.2734375","1.2734375"
"5816320","0.68359375","0.68359375","0.68359375"
"5857280","0.53125","0.53125","0.53125"
"5898240","1.85546875","1.85546875","1.85546875"
"5939200","1.40234375","1.40234375","1.40234375"
"5980160","1.265625","1.265625","1.265625"
"6021120","0.82421875","0.82421875","0.82421875"
"6062080","2.44140625","2.44140625","2.44140625"
"6103040","1.2109375","1.2109375","1.2109375"
"6144000","1.34765625","1.34765625","1.34765625"
"6184960","0.65625","0.65625","0.65625"
"6225920","0.21875","0.21875","0.21875"
"6266880","1.89453125","1.89453125","1.89453125"
"6307840","1.109375","1.109375","1.109375"
"6348800","2.0859375","2.0859375","2.0859375"
"6389760","0.71484375","0.71484375","0.71484375"
"6430720","0.38671875","0.38671875","0.38671875"
"6471680","0.3046875","0.3046875","0.3046875"
"6512640","0.32421875","0.32421875","0.32421875"
"6553600","0.421875","0.421875","0.421875"
"6594560","2.69140625","2.69140625","2.69140625"
"6635520","1.2734375","1.2734375","1.2734375"
"6676480","2.19921875","2.19921875","2.19921875"
"6717440","1.5546875","1.5546875","1.5546875"
"6758400","1.28125","1.28125","1.28125"
"6799360","0.6484375","0.6484375","0.6484375"
"6840320","0.9609375","0.9609375","0.9609375"
"6881280","1.12109375","1.12109375","1.12109375"
"6922240","0.35546875","0.35546875","0.35546875"
"6963200","0.2890625","0.2890625","0.2890625"
"7004160","1.30859375","1.30859375","1.30859375"
