"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"2513920","0","0","0"
"5027840","0","0","0"
"7541760","0","0","0"
"10055680","0","0","0"
"12569600","0","0","0"
"15083520","0","0","0"
"17597440","0","0","0"
"20111360","0","0","0"
"22625280","0","0","0"
"25139200","0","0","0"
"27653120","0","0","0"
"30167040","0","0","0"
"32680960","0","0","0"
"35194880","0","0","0"
"37708800","0","0","0"
"40222720","0","0","0"
"42736640","0","0","0"
"45250560","0","0","0"
"47764480","0","0","0"
"50278400","0","0","0"
"52792320","0","0","0"
"55306240","0","0","0"
"57820160","0","0","0"
"60334080","0","0","0"
"62848000","0","0","0"
"65361920","0","0","0"
"67875840","0","0","0"
"70389760","0","0","0"
"72903680","0","0","0"
"75417600","0","0","0"
"77931520","0","0","0"
"80445440","0","0","0"
"82959360","0","0","0"
"85473280","0","0","0"
"87987200","0","0","0"
"90501120","0","0","0"
"93015040","0","0","0"
"95528960","0","0","0"
"98042880","0","0","0"
"100556800","0","0","0"
"103070720","0","0","0"
"105584640","0","0","0"
"108098560","0","0","0"
"110612480","0","0","0"
"113126400","0","0","0"
"115640320","0","0","0"
"118154240","0","0","0"
"120668160","0","0","0"
"123182080","0","0","0"
"125696000","0","0","0"
"128209920","0","0","0"
"130723840","0","0","0"
"133237760","0","0","0"
"135751680","0","0","0"
"138265600","0","0","0"
"140779520","0","0","0"
"143293440","0","0","0"
"145807360","0","0","0"
"148321280","0","0","0"
"150835200","0","0","0"
"153349120","0","0","0"
"155863040","0","0","0"
"158376960","0","0","0"
"160890880","0","0","0"
"163404800","0","0","0"
"165918720","0.53125","0.53125","0.53125"
"168432640","0","0","0"
"170946560","0","0","0"
"173460480","0","0","0"
"175974400","0","0","0"
"178488320","0","0","0"
"181002240","0","0","0"
"183516160","0","0","0"
"186030080","0","0","0"
"188544000","0","0","0"
"191057920","0","0","0"
"193571840","0","0","0"
"196085760","0","0","0"
"198599680","0.1015625","0.1015625","0.1015625"
"201113600","0.08203125","0.08203125","0.08203125"
"203627520","3.16796875","3.16796875","3.16796875"
"206141440","5.859375","5.859375","5.859375"
"208655360","0.22265625","0.22265625","0.22265625"
"211169280","2.77734375","2.77734375","2.77734375"
"213683200","0","0","0"
"216197120","0","0","0"
"218711040","0","0","0"
"221224960","0","0","0"
"223738880","0","0","0"
"226252800","0","0","0"
"228766720","0","0","0"
"231280640","0","0","0"
"233794560","0","0","0"
"236308480","0","0","0"
"238822400","0","0","0"
"241336320","0","0","0"
"243850240","0","0","0"
"246364160","0","0","0"
"248878080","0","0","0"
"251392000","0","0","0"
"253905920","0","0","0"
"256419840","0","0","0"
"258933760","0","0","0"
"261447680","0","0","0"
"263961600","0","0","0"
"266475520","0","0","0"
"268989440","0","0","0"
"271503360","0","0","0"
"274017280","1.765625","1.765625","1.765625"
"276531200","0","0","0"
"279045120","1.515625","1.515625","1.515625"
"281559040","3.38671875","3.38671875","3.38671875"
"284072960","1.94921875","1.94921875","1.94921875"
"286586880","0.49609375","0.49609375","0.49609375"
"289100800","0.28515625","0.28515625","0.28515625"
"291614720","0.265625","0.265625","0.265625"
"294128640","0","0","0"
"296642560","0","0","0"
"299156480","0.23046875","0.23046875","0.23046875"
"301670400","0","0","0"
"304184320","0","0","0"
"306698240","0","0","0"
"309212160","2.28125","2.28125","2.28125"
"311726080","0.62890625","0.62890625","0.62890625"
"314240000","0","0","0"
"316753920","0","0","0"
"319267840","0","0","0"
"321781760","0","0","0"
"324295680","0","0","0"
"326809600","0","0","0"
"329323520","0","0","0"
"331837440","0","0","0"
"334351360","0","0","0"
"336865280","0","0","0"
"339379200","0","0","0"
"341893120","0","0","0"
"344407040","0","0","0"
"346920960","0","0","0"
"349434880","0","0","0"
"351948800","0","0","0"
"354462720","0","0","0"
"356976640","0","0","0"
"359490560","0.3671875","0.3671875","0.3671875"
"362004480","0.05859375","0.05859375","0.05859375"
"364518400","0","0","0"
"367032320","0","0","0"
"369546240","0.0625","0.0625","0.0625"
"372060160","0","0","0"
"374574080","2.02734375","2.02734375","2.02734375"
"377088000","0.16796875","0.16796875","0.16796875"
"379601920","0.3046875","0.3046875","0.3046875"
"382115840","2.3671875","2.3671875","2.3671875"
"384629760","0.3203125","0.3203125","0.3203125"
"387143680","0.4375","0.4375","0.4375"
"389657600","0.21875","0.21875","0.21875"
"392171520","0.3984375","0.3984375","0.3984375"
"394685440","0","0","0"
"397199360","0.16015625","0.16015625","0.16015625"
"399713280","0","0","0"
"402227200","0","0","0"
"404741120","0.34375","0.34375","0.34375"
"407255040","0.18359375","0.18359375","0.18359375"
"409768960","0.2734375","0.2734375","0.2734375"
"412282880","0","0","0"
"414796800","0.1640625","0.1640625","0.1640625"
"417310720","0.0703125","0.0703125","0.0703125"
"419824640","1.6640625","1.6640625","1.6640625"
"422338560","0.41015625","0.41015625","0.41015625"
"424852480","0","0","0"
"427366400","0.21875","0.21875","0.21875"
"429880320","0.21484375","0.21484375","0.21484375"
"432394240","0.24609375","0.24609375","0.24609375"
"434908160","0","0","0"
"437422080","0.0625","0.0625","0.0625"
"439936000","0.2109375","0.2109375","0.2109375"
"442449920","0","0","0"
"444963840","0","0","0"
"447477760","2.66796875","2.66796875","2.66796875"
"449991680","11.27734375","11.27734375","11.27734375"
"452505600","0.8671875","0.8671875","0.8671875"
"455019520","1.25","1.25","1.25"
"457533440","7.43359375","7.43359375","7.43359375"
"460047360","6.91015625","6.91015625","6.91015625"
"462561280","2.125","2.125","2.125"
"465075200","2.984375","2.984375","2.984375"
"467589120","0","0","0"
"470103040","0","0","0"
"472616960","0.7578125","0.7578125","0.7578125"
"475130880","0.203125","0.203125","0.203125"
"477644800","0.28125","0.28125","0.28125"
"480158720","0.23828125","0.23828125","0.23828125"
"482672640","0.02734375","0.02734375","0.02734375"
"485186560","1.4375","1.4375","1.4375"
"487700480","9.98828125","9.98828125","9.98828125"
"490214400","0","0","0"
"492728320","0","0","0"
"495242240","0.01953125","0.01953125","0.01953125"
"497756160","0","0","0"
"500270080","2.6171875","2.6171875","2.6171875"
