"Step","run - eval/episode_success","run - eval/episode_success__MIN","run - eval/episode_success__MAX"
"256000","0","0","0"
"512000","0","0","0"
"768000","0.2578125","0.2578125","0.2578125"
"1024000","0","0","0"
"1280000","0","0","0"
"1536000","0.19140625","0.19140625","0.19140625"
"1792000","0","0","0"
"2048000","0","0","0"
"2304000","0.28515625","0.28515625","0.28515625"
"2560000","0","0","0"
"2816000","0","0","0"
"3072000","0","0","0"
"3328000","0","0","0"
"3584000","0","0","0"
"3840000","0","0","0"
"4096000","0","0","0"
"4352000","0","0","0"
"4608000","0","0","0"
"4864000","0","0","0"
"5120000","0","0","0"
"5376000","0","0","0"
"5632000","0.50390625","0.50390625","0.50390625"
"5888000","0","0","0"
"6144000","0","0","0"
"6400000","0.2421875","0.2421875","0.2421875"
"6656000","0","0","0"
"6912000","0","0","0"
"7168000","0.12109375","0.12109375","0.12109375"
"7424000","0","0","0"
"7680000","0.09375","0.09375","0.09375"
"7936000","0","0","0"
"8192000","0.09765625","0.09765625","0.09765625"
"8448000","0","0","0"
"8704000","0","0","0"
"8960000","0","0","0"
"9216000","0","0","0"
"9472000","0","0","0"
"9728000","0","0","0"
"9984000","0","0","0"
"10240000","0","0","0"
"10496000","0","0","0"
"10752000","0","0","0"
"11008000","0","0","0"
"11264000","0","0","0"
"11520000","0","0","0"
"11776000","0","0","0"
"12032000","0","0","0"
"12288000","0","0","0"
"12544000","0","0","0"
"12800000","0.12890625","0.12890625","0.12890625"
"13056000","0","0","0"
"13312000","0","0","0"
"13568000","0.46484375","0.46484375","0.46484375"
"13824000","0","0","0"
"14080000","0.046875","0.046875","0.046875"
"14336000","0","0","0"
"14592000","0","0","0"
"14848000","0.0078125","0.0078125","0.0078125"
"15104000","0","0","0"
"15360000","0","0","0"
"15616000","0.14453125","0.14453125","0.14453125"
"15872000","0","0","0"
"16128000","0","0","0"
"16384000","0","0","0"
"16640000","0.765625","0.765625","0.765625"
"16896000","0","0","0"
"17152000","0.2890625","0.2890625","0.2890625"
"17408000","0.21484375","0.21484375","0.21484375"
"17664000","0","0","0"
"17920000","0.0234375","0.0234375","0.0234375"
"18176000","0","0","0"
"18432000","0","0","0"
"18688000","0","0","0"
"18944000","0.23046875","0.23046875","0.23046875"
"19200000","0.1796875","0.1796875","0.1796875"
"19456000","0","0","0"
"19712000","0","0","0"
"19968000","0","0","0"
"20224000","0.0390625","0.0390625","0.0390625"
"20480000","0.15234375","0.15234375","0.15234375"
"20736000","0","0","0"
"20992000","0.10546875","0.10546875","0.10546875"
"21248000","0","0","0"
"21504000","0","0","0"
"21760000","0","0","0"
"22016000","0","0","0"
"22272000","0","0","0"
"22528000","0","0","0"
"22784000","0","0","0"
"23040000","0.41015625","0.41015625","0.41015625"
"23296000","0","0","0"
"23552000","0","0","0"
"23808000","0","0","0"
"24064000","0","0","0"
"24320000","0","0","0"
"24576000","0","0","0"
"24832000","0","0","0"
"25088000","0","0","0"
"25344000","0","0","0"
"25600000","0","0","0"
"25856000","0","0","0"
"26112000","0","0","0"
"26368000","0","0","0"
"26624000","0","0","0"
"26880000","0","0","0"
"27136000","0","0","0"
"27392000","0","0","0"
"27648000","0","0","0"
"27904000","0","0","0"
"28160000","0","0","0"
"28416000","0","0","0"
"28672000","0","0","0"
"28928000","0","0","0"
"29184000","0","0","0"
"29440000","0","0","0"
"29696000","0","0","0"
"29952000","0","0","0"
"30208000","0","0","0"
"30464000","0","0","0"
"30720000","0","0","0"
"30976000","0","0","0"
"31232000","0","0","0"
"31488000","0","0","0"
"31744000","0","0","0"
"32000000","0","0","0"
"32256000","0","0","0"
"32512000","0","0","0"
"32768000","0","0","0"
"33024000","0","0","0"
"33280000","0","0","0"
"33536000","0","0","0"
"33792000","0","0","0"
"34048000","0","0","0"
"34304000","0","0","0"
"34560000","0","0","0"
"34816000","0","0","0"
"35072000","0","0","0"
"35328000","0","0","0"
"35584000","0","0","0"
"35840000","0","0","0"
"36096000","0","0","0"
"36352000","0","0","0"
"36608000","0","0","0"
"36864000","0","0","0"
"37120000","0","0","0"
"37376000","0","0","0"
"37632000","0","0","0"
"37888000","0","0","0"
"38144000","0","0","0"
"38400000","0","0","0"
"38656000","0","0","0"
"38912000","0","0","0"
"39168000","0","0","0"
"39424000","0","0","0"
"39680000","0","0","0"
"39936000","0","0","0"
"40192000","0","0","0"
"40448000","0","0","0"
"40704000","0","0","0"
"40960000","0","0","0"
"41216000","0","0","0"
"41472000","0","0","0"
"41728000","0","0","0"
"41984000","0","0","0"
"42240000","0","0","0"
"42496000","0","0","0"
"42752000","0","0","0"
"43008000","0","0","0"
"43264000","0","0","0"
"43520000","0","0","0"
"43776000","0","0","0"
"44032000","0","0","0"
"44288000","0","0","0"
"44544000","0","0","0"
"44800000","0","0","0"
"45056000","0","0","0"
"45312000","0","0","0"
"45568000","0","0","0"
"45824000","0","0","0"
"46080000","0","0","0"
"46336000","0","0","0"
"46592000","0","0","0"
"46848000","0","0","0"
"47104000","0","0","0"
"47360000","0","0","0"
"47616000","0","0","0"
"47872000","0","0","0"
"48128000","0","0","0"
"48384000","0","0","0"
"48640000","0","0","0"
"48896000","0","0","0"
"49152000","0","0","0"
"49408000","0","0","0"
"49664000","0","0","0"
"49920000","0","0","0"
"50176000","0","0","0"
"50432000","0","0","0"
"50688000","0","0","0"
"50944000","0","0","0"
